ID,Date,Address,City,State,Zip,Num of Units,Comments,Completion Status,Units Category,High Unit Count,Long,Lat
141,05:36.1,1515 Huntington Dr ,South Pasadena,CA,91030,14,"Also 1513, 1517, and 1519 Huntington Dr.",Verified,10+ units,14+ units,-118.1496795,34.10385777
142,22:41.7,1721 Huntington Dr ,South Pasadena,CA,91030,11,None,Verified,10+ units,< 14 units,-118.1455482,34.10392596
143,24:34.9,1731 Huntington Dr ,South Pasadena,CA,91030,8,None,Verified,7-9 units,< 14 units,-118.1453021,34.10394126
144,38:52.6,1809 Huntington Dr ,South Pasadena,CA,91030,6,"Abnormal spatial layout. B, e, g accessed on one side. C, d, f on other side. Gi is office. F unit is lone unit in back. Hard to observe in google maps imagery.",Verified,4-6 units,< 14 units,-118.1445459,34.10391526
145,39:27.3,1811 Huntington Dr ,South Pasadena,CA,91030,7,None,Verified,7-9 units,< 14 units,-118.1443725,34.10393807
146,53:50.7,1931 Huntington Dr ,South Pasadena,CA,91030,0,Entrance locked. Units appear to be on second floor over commercial businesses.,Denied Entry,,< 14 units,-118.1426513,34.10395593
147,55:10.3,1941 Huntington Dr ,South Pasadena,CA,91030,7,Site is a medical/ dental office. Units A-F no G. See pic.,Verified,7-9 units,< 14 units,-118.1422409,34.1039175
148,43:25.3,1260,South Pasadena,CA,91030,15,Is an office building. Unable to map units inside 201. Rejected b/c commercial property.,Denied Entry,10+ units,14+ units,-118.1542919,34.1034519
149,50:53.9,1150 Huntington Dr ,South Pasadena,CA,91030,7,None,Verified,7-9 units,< 14 units,-118.1555326,34.10040496
150,06:12.6,1120 Huntington Dr ,South Pasadena,CA,91030,24,Also with 1124 Huntington Dr.,Verified,10+ units,14+ units,-118.1556215,34.09942764
151,10/12/2022 19:07,1170 Huntington Dr ,South Pasadena,CA,91030,20,None.,Verified,10+ units,14+ units,-118.1555054,34.10118299
152,05:45.5,1155 Huntington Dr ,South Pasadena,CA,91030,5,None,Verified,4-6 units,< 14 units,-118.1549431,34.10073773
153,9/9/2022 19:36,1832 Fletcher Ave.,South Pasadena,CA,91030,0,Entrance locked.,Denied Entry,,< 14 units,-118.1423266,34.10461655
154,9/16/2022 22:52,1250 Huntington Dr ,South Pasadena,CA,91030,5,None,Verified,4-6 units,< 14 units,-118.1547208,34.10303179
155,9/16/2022 23:01,1234 Huntington Dr ,South Pasadena,CA,91030,7,None,Verified,7-9 units,< 14 units,-118.1550268,34.10263994
156,9/16/2022 23:21,1220 Huntington Dr,South Pasadena,CA,91030,4,None,Verified,4-6 units,< 14 units,-118.1554003,34.10218871
157,9/16/2022 23:38,1216 Huntington Dr ,South Pasadena,CA,91030,3,QC. Should be 4 units.,Tentative,1-3 units,< 14 units,-118.1553679,34.10200085
158,9/17/2022 0:26,1156 Huntington Dr ,South Pasadena,CA,91030,6,Also with 1158 Huntington Dr. QC missing a unit. 2 units are stacked onto 1.,Tentative,4-6 units,< 14 units,-118.1555266,34.10070272
159,9/17/2022 0:37,1152 Huntington Dr,South Pasadena,CA,91030,8,May be in the csv as 1154 Huntington Dr.,Verified,7-9 units,< 14 units,-118.1555343,34.10054962
160,04:29.2,1654 Huntington Dr ,South Pasadena,CA,91030,8,Also with 1652 Huntington Dr.,Verified,7-9 units,< 14 units,-118.1475051,34.10440306
161,9/16/2022 18:15,1137 Huntington Dr ,South Pasadena,CA,91030,6,None,Verified,4-6 units,< 14 units,-118.1549588,34.10002653
162,19:43.9,1125 Huntington Dr ,South Pasadena,CA,91030,0,None,Tentative,,< 14 units,-118.1549842,34.09958691
163,33:47.8,1127 Huntington Dr ,South Pasadena,CA,91030,8,None,Verified,7-9 units,< 14 units,-118.1549844,34.09973665
164,49:27.5,1171 Huntington Dr ,South Pasadena,CA,91030,4,None,Verified,4-6 units,< 14 units,-118.1548162,34.10124729
165,52:01.8,1207 Huntington Dr ,South Pasadena,CA,91030,7,None,Verified,7-9 units,< 14 units,-118.1547928,34.10168929
166,53:24.3,1223 Huntington Dr ,South Pasadena,CA,91030,6,Also with 1227 Huntington Dr. Gate for 1223 Huntington Dr was locked.,Verified,4-6 units,< 14 units,-118.1545693,34.10220981
167,54:21.4,1221 Huntington Dr ,South Pasadena,CA,91030,0,Gate locked.,Denied Entry,,< 14 units,-118.154702,34.10198387
168,23:22.5,1253 Huntington Dr ,South Pasadena,CA,91030,3,None,Verified,1-3 units,< 14 units,-118.1539795,34.10292913
169,25:48.3,1263 Huntington Dr ,South Pasadena,CA,91030,12,Also with 1257 Huntington Dr.,Verified,10+ units,< 14 units,-118.1537671,34.10309155
170,43:35.3,1211 Huntington Dr ,South Pasadena,CA,91030,8,None,Verified,7-9 units,< 14 units,-118.1547726,34.10183806
171,56:36.7,1313 Huntington Dr ,South Pasadena,CA,91030,10,None,Verified,10+ units,< 14 units,-118.1532634,34.10345462
172,13:52.8,1499 Huntington Dr ,South Pasadena,CA,91030,0,Reject commercial,Denied Entry,,< 14 units,-118.1505276,34.10385221
173,15:09.1,1445 Huntington Dr ,South Pasadena,CA,91030,0,Reject commercial,Denied Entry,,< 14 units,-118.1508725,34.10385274
174,30:47.2,1628 Huntington Dr ,South Pasadena,CA,91030,0,None,Tentative,,< 14 units,-118.1484137,34.10439519
175,43:27.2,1624 Huntington Dr ,South Pasadena,CA,91030,6,Also with 1620 and 1622 Huntington Dr.,Verified,4-6 units,< 14 units,-118.1487495,34.10445342
176,47:27.0,1308 Huntington Dr ,South Pasadena,CA,91030,12,None,Verified,10+ units,< 14 units,-118.153392,34.1040345
177,50:40.3,1318 Huntington Dr ,South Pasadena,CA,91030,0,Reject b/c commercial,Denied Entry,,< 14 units,-118.1528454,34.1041973
178,17:22.7,923 Fremont Ave,South Pasadena,CA,91030,7,None,Verified,7-9 units,< 14 units,-118.1533218,34.11493508
179,21:44.0,1001 Fremont Ave,South Pasadena,CA,91030,0,None,Tentative,,< 14 units,-118.1533781,34.11448216
180,33:49.7,1216 Fremont Ave,South Pasadena,CA,91030,5,None,Verified,4-6 units,< 14 units,-118.1529428,34.11143456
181,35:40.4,1414 Fremont Ave,South Pasadena,CA,91030,0,Gate locked.,Denied Entry,,< 14 units,-118.1529532,34.10934168
182,37:48.4,1609 Fremont Ave,South Pasadena,CA,91030,0,Entrance locked.,Denied Entry,,< 14 units,-118.1533951,34.10724381
183,9/17/2022 6:21,1136 Huntington Dr ,South Pasadena,CA,91030,6,None,Verified,4-6 units,< 14 units,-118.1555664,34.09994184
184,9/17/2022 6:24,1128 Huntington Dr ,South Pasadena,CA,91030,0,Gate locked.,Denied Entry,,< 14 units,-118.1555645,34.09966211
185,9/17/2022 6:26,1130 Huntington Dr ,South Pasadena,CA,91030,0,Gate locked.,Denied Entry,,< 14 units,-118.1555697,34.09979954
186,9/16/2022 7:03,1111 Huntington Dr ,South Pasadena,CA,91030,4,None,Verified,4-6 units,< 14 units,-118.1549188,34.09910736
187,37:01.1,1807 Huntington Dr ,South Pasadena,CA,91030,0,None,In Progress,,< 14 units,-118.153155,34.105478
188,00:26.0,1811 Fremont Ave,South Pasadena,CA,91030,0,None,In Progress,,< 14 units,-118.153118,34.10527499
189,07:32.2,1827 Fremont Ave,South Pasadena,CA,91030,0,None,In Progress,,< 14 units,-118.152828,34.10466358
190,10/1/2022 23:21,1159 Huntington Dr,South Pasadena,CA,91030,4,Mailbox is labeled units 1-4.,Verified,4-6 units,< 14 units,-118.1549283,34.1009034
191,9/24/2022 4:42,1700 Huntington Dr ,South Pasadena,CA,91030,0,In progress.,Tentative,,< 14 units,-118.1463709,34.10442106
192,13:16.4,1115 Huntington Dr ,South Pasadena,CA,91030,0,Entrance locked.,Denied Entry,,< 14 units,-118.154828,34.09925598
193,15:13.0,1119 Huntington Dr ,South Pasadena,CA,91030,0,Entrance locked.,Denied Entry,,< 14 units,-118.1549603,34.09941327
194,19:41.7,1163 Huntington Dr ,South Pasadena,CA,91030,0,Entrance locked. Strange sign.,Denied Entry,,< 14 units,-118.1548827,34.10107219
195,17:01.9,1505 Huntington Dr ,South Pasadena,CA,91030,0,In progress.,Tentative,,< 14 units,-118.1500039,34.10388217
196,19:31.4,1619 Huntington Dr ,South Pasadena,CA,91030,0,None,In Progress,,< 14 units,-118.1481316,34.10384904
197,05:53.5,1720 Mission St,South Pasadena,CA,91030,0,Entrance locked.,Denied Entry,,< 14 units,-118.1478872,34.11574078
198,06:31.8,1700 Mission St,South Pasadena,CA,91030,0,Entrance locked.,Denied Entry,,< 14 units,-118.1487231,34.11573195
199,07:34.1,819 Park Ave,South Pasadena,CA,91030,0,None,Tentative,,< 14 units,-118.1476536,34.11622681
200,08:18.5,815 Park Ave ,South Pasadena,CA,91030,0,None,Tentative,,< 14 units,-118.1476046,34.11638143
